Asset,Description,Status,Asset Type,Asset Group,Year,Manufacturer,Model,VIN
32924-11,"32924-11|TRUCK POOL DODGE VAN/MIDSIZE NUMBER CHANGED FROM 35818 - MH",ACTIVE,FLEET,TRUCK POOL,2011,DODGE,GRAND CARAVAN,2D4RN4DG1BR669316
32881-16,32881-16|TRUCK POOL FORD F350 PICKUP,ACTIVE,FLEET,TRUCK POOL,2016,FORD,F350,1FDRF3G66GEB33260
30825-15,30825-15|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2015,FORD,F150,1FTEW1C89FFB41960
31205-14,31205-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCG3E1205018
30843-14,30843-14|TRUCK POOL RAM CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2014,DODGE,TRADESMAN,2C4RRGAG2ER405579
32923-02,"32923-02|TRUCK POOL FORD PICKUP NUMBER CHANGED FROM 33876 12/3/14 - MH",ACTIVE,FLEET,TRUCK POOL,2002,FORD,F150,1FTRF17262NB18899
33843-13,33843-13|TRUCK POOL FORD F150 TRUCK,ACTIVE,FLEET,TRUCK POOL,2013,FORD,F150,1FTEX1CM1DFC28811
33814-13,33814-13|TRUCK POOL CHEVROLET PICKUP TRUCK 4X4,ACTIVE,FLEET,TRUCK POOL,2013,CHEVROLET,SILVERADO,1GB0KVCG5DZ213340
32857-13,32857-13|TRUCK POOL FORD F450 TRUCK,ACTIVE,FLEET,TRUCK POOL,2013,FORD,F450,1FDTF4GT5DEA13589
31236-13,31236-13|TRUCK POOL CHEVROLET PICKUP,ACTIVE,FLEET,TRUCK POOL,2013,CHEVROLET,SILVERADO,1GC4KZCGXDF157191
33872-13,33872-13|TRUCK POOL DODGE CARGO MINIVAN,ACTIVE,FLEET,TRUCK POOL,2013,DODGE,RAM,2C4JRGAG9DR754234
