Transaction No,Work Order,Phase,Type,Category,Work Code,Asset,Asset Type,Asset Group,Cost Type,AiM Account,Subledger,Fiscal Month,Fiscal Year,Transaction Date,Source Transaction,Description,Transaction Type
33733636,3080106,1,FLEET,STANDING,FUEL,30801-06,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,8,2019,2/22/2019,1757141,16.7 GALS UNLEADED FUEL,WX
34254145,3080106,1,FLEET,STANDING,FUEL,30801-06,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,10,2019,4/12/2019,1773079,15.1 GALS UNLEADED FUEL,WX
35195314,3080106,1,FLEET,STANDING,FUEL,30801-06,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,1,2020,7/11/2019,1804135,21.2 GALS UNLEADED FUEL,WX
35714369,3080106,1,FLEET,STANDING,FUEL,30801-06,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,2,2020,8/29/2019,1820789,9.75 GAL UNLEADED FUEL,WX
36484792,3080106,1,FLEET,STANDING,FUEL,30801-06,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,5,2020,11/4/2019,1863662,15.0 GALS UNLEADED FUEL,WX
33205956,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,7,2019,1/3/2019,1740759,16.3 GALS E85 FUEL,WX
33313643,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,7,2019,1/14/2019,1743727,15.9 GALS E85 FUEL,WX
33424597,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,7,2019,1/25/2019,1747733,16.9 GALS E85 FUEL,WX
33549596,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,8,2019,2/5/2019,1751691,17.4 GALS E85 FUEL,WX
33686999,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,8,2019,2/18/2019,1755744,17.6 GALS E85 FUEL,WX
33807643,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,8,2019,2/28/2019,1760148,18.0 GALS E85 FUEL,WX
33932248,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,9,2019,3/12/2019,1762875,18.4 GALS E85 FUEL,WX
34029704,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,9,2019,3/21/2019,1766160,17.5 GALS E85 FUEL,WX
34254045,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,10,2019,4/12/2019,1773054,15.8 GALS E85 FUEL,WX
34380883,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,10,2019,4/23/2019,1776911,16.1 GALS E85 FUEL,WX
34532053,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,11,2019,5/6/2019,1781199,16.0 GALS E85 FUEL,WX
34639486,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,11,2019,5/16/2019,1785226,15.6 GALS E85 FUEL,WX
34743829,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,11,2019,5/28/2019,1788160,15.6 GALS E85 FUEL,WX
34960893,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,12,2019,6/18/2019,1795675,17.9 GALS E85 FUEL,WX
35204002,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,1,2020,7/12/2019,1804454,13 GAL E85 FUEL,WX
35255390,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,1,2020,7/17/2019,1807411,16.73 GAL UNLEADED FUEL,WX
35320874,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,1,2020,7/24/2019,1808952,15.46 GAL UNLEADED FUEL,WX
35476387,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,2,2020,8/7/2019,1812784,15.3 GALS E85 FUEL,WX
35653960,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,2,2020,8/23/2019,1818762,17.4 GALS E85 FUEL,WX
35756916,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,3,2020,9/3/2019,1822620,15.6 GALS E85 FUEL,WX
35832509,3080212,1,FLEET,STANDING,FUEL,30802-12,FLEET,TRUCK POOL,FUEL,NC766-TRUCK EXP OMMSV,M,3,2020,9/10/2019,1824401,15.8 GALS E85 FUEL,WX
